type,id,section,bar,category,itemId,filename,start,dur,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,nstretch,nvol,nclip,nswing,buzz,active
sample,A1,1,1,groove,00694094_33_00-04-04,00694094.wav,244971,325,1,,,,,,,,,,1,,,,,,,1.1,,,,1
sample,A1,1,1,groove,00694094_34_00-04-05,00694094.wav,245296,162,,,,,1,,,,,,,,,,,,,1.1,,,,1
sample,A1,1,1,groove,00694094_35_00-04-05,00694094.wav,245458,116,,,,,,,,,1,,,,,,,,,1.1,,,,1
sample,A1,1,1,groove,00694094_36_00-04-05,00694094.wav,245574,256,,,,,,,1,,,,,,1,,,,,1.1,,,,1
sample,A2,1,2,break,00694094_34_00-04-05,00694094.wav,245296,162,1,,,,,,,,,,,,,,,,,1.1,,,,1
sample,A2,1,2,break,00694094_35_00-04-05,00694094.wav,245458,116,,,,,1,,,,,,,,,,1,,,1.1,,,,1
sample,A2,1,2,break,00694094_36_00-04-05,00694094.wav,245574,256,,,1,,,,,,1,,,,,,,,,1.1,,,,1
sample,A2,1,2,break,00694094_37_00-04-05,00694094.wav,245830,162,,,,,,,1,,,,,,1,,,,,1.1,,,,1
sample,A3,1,3,break,00694094_35_00-04-05,00694094.wav,245458,116,1,,,,,,,,,,1,,,,,,,1.1,,,,1
sample,A3,1,3,break,00694094_36_00-04-05,00694094.wav,245574,256,,,,,1,,,,,,,,,,1,,,1.1,,,,1
sample,A3,1,3,break,00694094_37_00-04-05,00694094.wav,245830,162,,,1,,,,,,1,,,,,,,,,1.1,,,,1
sample,A3,1,3,break,00694094_38_00-04-05,00694094.wav,245992,116,,,,,,,,,,,,,1,,,,,1.1,,,,1
sample,A4,1,4,break,00694094_36_00-04-05,00694094.wav,245574,256,1,,,,,,,,,,1,,,,,,,1.1,,,,1
sample,A4,1,4,break,00694094_37_00-04-05,00694094.wav,245830,162,,,,,1,,,,,,,,,,,,,1.1,,,,1
sample,A4,1,4,break,00694094_38_00-04-05,00694094.wav,245992,116,,,,,,,,,1,,,,,,,,,1.1,,,,1
sample,A4,1,4,break,00694094_39_00-04-06,00694094.wav,246108,279,,,,,,,1,,,,,,1,,,,,1.1,,,,1
sample,A5,1,5,break,00694094_37_00-04-05,00694094.wav,245830,162,1,,,,,,,,,,,,,,,,,1.1,,,,1
sample,A5,1,5,break,00694094_38_00-04-05,00694094.wav,245992,116,,,,,1,,,,,,,,,,,,,1.1,,,,1
sample,A5,1,5,break,00694094_39_00-04-06,00694094.wav,246108,279,,,1,,,,,,1,,,,,,,,,1.1,,,,1
sample,A5,1,5,break,00694094_40_00-04-06,00694094.wav,246387,279,,,,,,,1,,,,,,1,,,,,1.1,,,,1
sample,A6,1,6,break,00694094_38_00-04-05,00694094.wav,245992,116,1,,,,,,,,,,,,,,,,,1.1,,,,1
sample,A6,1,6,break,00694094_39_00-04-06,00694094.wav,246108,279,,,,,1,,,,,,,,,,1,,,1.1,,,,1
sample,A6,1,6,break,00694094_40_00-04-06,00694094.wav,246387,279,,,1,,,,,,1,,,,,,,,,1.1,,,,1
sample,A6,1,6,break,00694094_41_00-04-06,00694094.wav,246666,162,,,,,,,,,,,,,1,,,,,1.1,,,,1
sample,A7,1,7,break,00694094_39_00-04-06,00694094.wav,246108,279,1,,,,,,,,,,1,,,,,,,1.1,,,,1
sample,A7,1,7,break,00694094_40_00-04-06,00694094.wav,246387,279,,,,,1,,,,,,,,,,1,,,1.1,,,,1
sample,A7,1,7,break,00694094_41_00-04-06,00694094.wav,246666,162,,,,,,,,,1,,,,,,,,,1.1,,,,1
sample,A7,1,7,break,00694094_42_00-04-06,00694094.wav,246828,116,,,,,,,,,,,,,1,,,,,1.1,,,,1
sample,A8,1,8,fill,00694094_40_00-04-06,00694094.wav,246387,279,1,,,,,,,,,,1,,,,,,,1.1,,,,1
sample,A8,1,8,fill,00694094_41_00-04-06,00694094.wav,246666,162,,,,,1,,,,,,,,,,,,,1.1,,,,1
sample,A8,1,8,fill,00694094_42_00-04-06,00694094.wav,246828,116,,,,,,,,,1,,,,,,,,,1.1,,,,1
sample,A8,1,8,fill,00694094_43_00-04-06,00694094.wav,246944,1000,,,,,,,1,,,,,,1,,,,,1.1,,,,1
sample,B1,2,1,groove,00694094_05_00-02-32,00694094.wav,152903,395,1,,,,,,,,,,,,,,,,,,,,,1
sample,B1,2,1,groove,00694094_06_00-02-33,00694094.wav,153298,256,,,,,1,,,,,,,,,,1,,,,,,,1
sample,B1,2,1,groove,00694094_07_00-02-33,00694094.wav,153554,348,,,1,,,,,,1,,,,,,,,,,,,,1
sample,B1,2,1,groove,00694094_08_00-02-33,00694094.wav,153902,116,,,,,,,1,,,,,,1,,,,,,,,,1
sample,B2,2,2,break,00694094_07_00-02-33,00694094.wav,153554,348,1,,,,,,,,,,,,,,,,,,,,,1
sample,B2,2,2,break,00694094_08_00-02-33,00694094.wav,153902,116,,,,,1,,,,,,,,,,1,,,,,,,1
sample,B2,2,2,break,00694094_09_00-02-34,00694094.wav,154018,418,,,,,,,,,1,,,,,,,,,,,,,1
sample,B2,2,2,break,00694094_10_00-02-34,00694094.wav,154436,162,,,,,,,1,,,,,,1,,,,,,,,,1
sample,C1,3,1,groove,00694094_22_00-03-29,00694094.wav,209258,743,1,,,,,,,,,,,,,,,,,,,,,1
sample,C1,3,1,groove,00694094_23_00-03-30,00694094.wav,210001,349,,,,,1,,,,,,,,,,1,,,,,,,1
sample,C1,3,1,groove,00694094_24_00-03-30,00694094.wav,210350,255,,,,,,,,,1,,,,,,,,,,,,,1
sample,C1,3,1,groove,00694094_25_00-03-30,00694094.wav,210605,139,,,,,,,,,,,,,1,,,,,,,,,1
sample,C2,3,2,fill,00694094_25_00-03-30,00694094.wav,210605,139,1,,,,,,,,,,1,,,,,,,,,,,1
sample,C2,3,2,fill,00694094_26_00-03-30,00694094.wav,210744,93,,,,,1,,,,,,,,,,,,,,,,,1
sample,C2,3,2,fill,00694094_27_00-03-30,00694094.wav,210837,140,,,1,,,,,,1,,,,,,,,,,,,,1
sample,C2,3,2,fill,00694094_28_00-03-30,00694094.wav,210977,510,,,,,,,1,,,,,,1,,,,,,,,,1