id,count,speed,options,drumId,drumOptions,active,sum
A1,2,1,,,,1,2
A1,1,1,,A1,only=sa&speed=0.5,1,3
A2,1,1,,A2,only=sa&speed=0.5,1,4
A1,1,1,,A2,"only=sa,h&speed=0.5",1,5
A1,1,1,"drop=1,9",A2,"only=sa,h&speed=0.5",1,6
A3,1,1,,A3,"only=sa,h,k&vol=1.2&speed=0.5",1,7
A4,2,1,,A4,"only=sa,h,k&vol=1.2&speed=0.5",1,9
A1,2,1,drop=1,A1,"only=sa,h,k&vol=1.2&speed=0.5",1,11
A4,1,1,,A2,"only=sa,h,k&vol=1.2&speed=0.5",1,12
A5,1,1,,A2,"only=sa,h,k&vol=1.2&speed=0.5",1,13
A1,1,1,drop=9,A3,"only=sa,h&vol=1.1&speed=0.5",1,14
A6,1,1,,A4,"only=sa,h&vol=1.1&speed=0.5",1,15
A1,1,1,drop=5,A1,"only=sa,h&vol=1.1",1,16
A1,2,1,,A2,"only=sa,h&vol=1.1",1,18
B1,1,1,,B1,vol=1.2,1,19
C1,2,0.93,,,,1,21
C1,2,0.93,,C1,"only=s,sg&volume=0.9",1,23
C1,2,0.93,,C1,"only=s,sg,h&volume=0.9",1,25
C2,2,0.93,,C2,volume=0.9,1,27
A1,2,0.95,,A1,"only=sa,h,k&vol=1.1&speed=0.5",1,29
A2,1,0.97,,A2,"only=sa,h,k&vol=1.2&speed=0.5",1,30
A4,2,0.99,,A3,"only=sa,k&vol=1.2&speed=0.5",1,32
A1,2,1,,A4,"only=sa,k&vol=1.2&speed=0.5",1,34
A6,2,1,,A1,vol=1.2&speed=0.5,1,36
B2,1,1,,B2,vol=1.2&speed=0.5,1,37
C1,2,0.93,,C2,"only=s,sg",1,39
C2,2,0.93,,C3,"only=s,sg",1,41
C3,2,0.93,,C4,"only=s,sg",1,43
C1,1,0.93,"drop=5,9",C1,vol=1.2,1,44
C1,1,0.93,,C2,vol=1.2,1,45
C1,1,0.93,drop=1,C1,vol=1.2,1,46
C4,1,0.93,,C2,vol=1.2,1,47
C1,1,0.93,,C1,vol=1.2,1,48
C1,1,0.93,drop=1,B3,vol=1.2,1,49
C2,2,0.93,,C3,"only=s,sg,h&vol=1.2",1,51
C2,2,0.93,,C4,"only=s,sg,h&vol=1.2",1,53
C4,1,0.93,,C1,vol=1.2,1,54
A1,2,0.95,,A1,"only=sa,h,k&vol=1.1",1,56
A2,1,0.97,,A2,"only=sa,h,k&vol=1.2",1,57
A1,2,0.99,,A3,"only=sa,k&vol=1.2",1,59
A1,1,0.99,,A4,only=sa&vol=1.2,1,60
B3,1,1,,B3,vol=1.2,1,61